amount0In,amount0Out,amount1In,amount1Out,amountUSD,id,pair,sender,timestamp,to
0,13714.149586,13736.9526,0,13719.90806675108987931050318766857,0x02423ff8524cf8c85cd529997350f05659f325e42ee37d0160575170dc2cb890-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618628013,0xedf1fa564a91a5664f172470c47450af17724757
985.841844,0,0,981.233844,983.570379657910835489003509195841,0x0425cad4b3fb0a5a3dbae0139e7ce5f6568395b2232e9fe3ec76f3f6825be982-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618633323,0x4dfcb1482878ededccd6cc19f9d043cdd56ffd06
0,1303.527006,1300,0,1301.994321809179886536797623214354,0x0463b5d6942a083514a9577f93c1165ebb94aa1a028f59ab72e8a0815c3796eb-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618689098,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
0,16227.894553,16224.883937,0,16240.0580105661869895352380522533,0x048188d8dcef010150ad460ea27be994ee0b04ee07cca145af9b2d92c52d8c07-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618636881,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
0,3694.017535,3705.729128,0,3700.699377460513319688086554977898,0x04c2f99e921bcb18ad2e4bbb2369f72baebfefbe1712e68fb126f9821f489115-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618676621,0x93936c7e1fea69cc471d617dc8feff92c53eae12
36.91364,0,0,36.877311,36.88579268455869766918572035096764,0x04ed0afb7216fbc72546b861775bbd795c595678b60d8dedf3f6c9836d855a5e-2,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618649755,0xe7cba271c632c38e9fc174d2292ef41cf87aaf0a
0,49.630458,50,0,49.85053532702789803845994942804661,0x05c992679348ad83c2c98e9db9afd55f1b8345bcf8753551ed3cc052a8bc574d-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618669828,0x5cdac05310cb553d95f847ffb84c815e64e87db0
0,20698.51514,20765.73012,0,20731.0127979323496481260005584289,0x060dd2ea0c2ab2deeb0052559c3005d2f29ed1eb28cd226f46e0d32ee4f960b2-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618680074,0x85673c92f0f27a9c4d8c221f6bfefa33b716338a
1300.43827,0,0,1303.038525,1301.16811474188163770932057868699,0x06340ba1e6a829575c758869a12a8910591b06f897478a4cde3388a598d6117f-2,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618649960,0x465f610c8ab7d5a320f526adb57ce2f1951bd41a
0,2997.709965,3000,0,2998.393403326367948845863336096456,0x070a4b160f4983b90e6192d99c1f5a94c09938ecea7fe8687eb12f57b67d853a-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618697567,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
11923.560747,0,0,11936.270277,11933.28077487059265423338429239041,0x07b2a4f47c6de32c6ba82c5e5d895c6cf4475e16205a020ec48c7d216d4d69be-2,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618699174,0xb03a67b1aa177295420def7828422368d2c58a4b
0,112.512084,113.001209,0,112.6866975927399804852688797355617,0x07dab575f451ba42885cff9a535ec7d57026cb7f7380dab1088e0dbf98775046-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618663902,0x02d522cee28272b256cb3146e563f7381b24be06
12062.904143,0,0,12084.394258,12074.93931428512182315261456779028,0x08484b311ea157c1f7b1bb5ba3cf8b92b22ce2a7498db48c73afeb291aec280a-2,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618654276,0xb03a67b1aa177295420def7828422368d2c58a4b
